id_especie,nombre_cientifico,nombre_comun,familia,tipo,descripcion,respuestas_cuestionario
millepora_alcicornis,Millepora alcicornis,Coral de Fuego Cuerno de Alce,Milleporidae,Hidrocoral,Hidrocoral con forma ramificada o incrustante. Superficie porosa sin coralitos visibles. Produce urticación al contacto. Presenta amarillento y rugoso.,"{""p1"": ""no"", ""p2"": ""incrustante""}"
millepora_alcicornis,Millepora alcicornis,Coral de Fuego Cuerno de Alce,Milleporidae,Hidrocoral,Hidrocoral con forma ramificada o incrustante. Superficie porosa sin coralitos visibles. Produce urticación al contacto. Presenta verdoso y superficie porosa.,"{""p1"": ""no"", ""p2"": ""incrustante""}"
millepora_alcicornis,Millepora alcicornis,Coral de Fuego Cuerno de Alce,Milleporidae,Hidrocoral,Tipo: parece un arbusto. Color: blanquecino.,"{""p1"": ""no"", ""p2"": ""incrustante""}"
millepora_alcicornis,Millepora alcicornis,Coral de Fuego Cuerno de Alce,Milleporidae,Hidrocoral,Hidrocoral con forma ramificada o incrustante. Superficie porosa sin coralitos visibles. Produce urticación al contacto. Presenta color tierra y como esponja.,"{""p1"": ""no"", ""p2"": ""incrustante""}"
millepora_alcicornis,Millepora alcicornis,Coral de Fuego Cuerno de Alce,Milleporidae,Hidrocoral,"forma de candelabro, tono marrón.","{""p1"": ""no"", ""p2"": ""incrustante""}"
millepora_alcicornis,Millepora alcicornis,Coral de Fuego Cuerno de Alce,Milleporidae,Hidrocoral,"Parece como dedos que salen, gris.","{""p1"": ""no"", ""p2"": ""incrustante""}"
millepora_alcicornis,Millepora alcicornis,Coral de Fuego Cuerno de Alce,Milleporidae,Hidrocoral,"Es un coral ramas coralinas, textura áspera, de color color café claro.","{""p1"": ""no"", ""p2"": ""incrustante""}"
millepora_alcicornis,Millepora alcicornis,Coral de Fuego Cuerno de Alce,Milleporidae,Hidrocoral,"ramas finas, color café claro.","{""p1"": ""no"", ""p2"": ""incrustante""}"
millepora_alcicornis,Millepora alcicornis,Coral de Fuego Cuerno de Alce,Milleporidae,Hidrocoral,Hidrocoral con forma ramificada o incrustante. Superficie porosa sin coralitos visibles. Produce urticación al contacto.,"{""p1"": ""no"", ""p2"": ""incrustante""}"
millepora_alcicornis,Millepora alcicornis,Coral de Fuego Cuerno de Alce,Milleporidae,Hidrocoral,"Estaba buceando y vi ramas finas, marrón.","{""p1"": ""no"", ""p2"": ""incrustante""}"
millepora_alcicornis,Millepora alcicornis,Coral de Fuego Cuerno de Alce,Milleporidae,Hidrocoral,Hidrocoral con forma ramificada o incrustante. Superficie porosa sin coralitos visibles. Produce urticación al contacto. Presenta color tierra y textura áspera.,"{""p1"": ""no"", ""p2"": ""incrustante""}"
